SiteId,WsWaIdx,DateHrGmt,DateHrLwt,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
Madrid History 2012,581525,2012-06-04-04,2012-06-04-05,57.2,41.4,49.1,56,932.4,53,56.6,56.6,5,340,0.00,0,0,0,6
Madrid History 2012,581525,2012-06-04-05,2012-06-04-06,55.6,41.5,48.1,59,932.6,42,54.6,54.6,5,350,0.00,0,0,0,6
Madrid History 2012,581525,2012-06-04-06,2012-06-04-07,58.7,42.6,48.9,55,932.8,36,58.4,58.4,5,350,0.00,57,41,140,6
Madrid History 2012,581525,2012-06-04-07,2012-06-04-08,61.3,46.4,52.5,58,936.3,39,61.3,61.3,2,360,0.00,232,76,520,2
Madrid History 2012,581525,2012-06-04-08,2012-06-04-09,66.8,45.6,54.5,47,935.8,40,66.8,66.8,2,300,0.00,428,95,694,2
Madrid History 2012,581525,2012-06-04-09,2012-06-04-10,71.2,45.0,55.2,39,935.2,31,71.2,75.0,3,290,0.00,618,116,780,3
Madrid History 2012,581525,2012-06-04-10,2012-06-04-11,75.2,44.3,57.4,33,934.5,20,75.2,75.9,3,290,0.00,783,148,813,3
Madrid History 2012,581525,2012-06-04-11,2012-06-04-12,79.8,39.2,56.5,23,932.9,8,79.8,79.8,4,290,0.00,906,169,837,5
Madrid History 2012,581525,2012-06-04-12,2012-06-04-13,77.4,49.7,60.3,38,936.3,0,77.4,77.7,7,230,0.00,979,189,842,8
Madrid History 2012,581525,2012-06-04-13,2012-06-04-14,80.8,51.3,62.4,36,936.3,0,80.8,80.8,6,230,0.00,1001,195,849,7
Madrid History 2012,581525,2012-06-04-14,2012-06-04-15,80.8,49.6,61.7,34,936.2,0,80.8,80.8,6,230,0.00,962,197,839,7
Madrid History 2012,581525,2012-06-04-15,2012-06-04-16,82.5,49.6,62.3,32,935.4,0,82.5,82.5,5,220,0.00,870,195,812,6
Madrid History 2012,581525,2012-06-04-16,2012-06-04-17,81.4,48.1,60.6,31,934.8,0,81.4,81.4,3,240,0.00,730,149,820,3
Madrid History 2012,581525,2012-06-04-17,2012-06-04-18,79.5,47.3,59.7,32,934.2,0,79.5,79.5,2,260,0.00,554,113,793,2
